seed,total_time,mse,l1,mse_mean,mse_sd,mse_quantile_0.05,mse_quantile_0.25,mse_quantile_0.50,mse_quantile_0.75,mse_quantile_0.95
1,3.562615156173706,4.891266345977783,1.4800705909729004,1.315936803817749,1.4308322668075562,2.8002307415008545,1.5317906141281128,1.3852695226669312,1.8797149658203125,6.150219917297363
2,6.528759002685547,6.368260860443115,1.6147792339324951,2.3337039947509766,1.3620855808258057,3.9122424125671387,2.5539963245391846,2.2704286575317383,2.7845873832702637,6.853655815124512
3,5.660124063491821,4.4762749671936035,1.5035395622253418,1.1425405740737915,1.4678983688354492,4.188439846038818,1.4581530094146729,1.0677798986434937,1.6082876920700073,4.803351402282715
4,6.580907106399536,5.657963275909424,1.6286523342132568,1.7556756734848022,1.3942770957946777,3.506948232650757,1.8082821369171143,1.8455358743667603,2.6044695377349854,6.331557750701904
5,7.494789123535156,4.933526039123535,1.5508968830108643,1.7416008710861206,0.9441167116165161,3.4985766410827637,2.1555919647216797,1.7530527114868164,2.0149941444396973,5.282977104187012
6,6.469375848770142,5.420495986938477,1.616862416267395,2.890552043914795,2.4908359050750732,4.143893718719482,2.2397665977478027,2.5688130855560303,4.784972667694092,15.174620628356934
7,7.009822130203247,5.22178316116333,1.578158974647522,1.9008857011795044,1.1773626804351807,4.212196350097656,2.348820447921753,1.896454930305481,2.0891788005828857,5.297921180725098
8,6.163758039474487,5.073295593261719,1.6114593744277954,1.945561408996582,1.255249261856079,4.775542259216309,2.770702600479126,1.85429048538208,1.9730685949325562,5.786588191986084
9,7.668838024139404,3.9326963424682617,1.4263347387313843,1.3913730382919312,0.9139652252197266,3.0381460189819336,1.472969889640808,1.3147474527359009,1.8991721868515015,4.943820476531982
10,6.997809171676636,4.488338470458984,1.5322192907333374,1.4360491037368774,1.576979398727417,4.144750118255615,1.642354965209961,1.3105205297470093,1.7738616466522217,5.479581832885742
11,5.938042879104614,4.663945198059082,1.4989027976989746,1.4946531057357788,1.8851884603500366,4.326132774353027,1.6873818635940552,1.6366298198699951,2.1584982872009277,6.298738956451416
12,7.739332914352417,5.2811150550842285,1.6712313890457153,1.947875738143921,0.9850277304649353,3.1485984325408936,2.0349106788635254,1.8588531017303467,2.2615795135498047,5.918120384216309
13,7.4080188274383545,3.972677707672119,1.4131501913070679,1.3207290172576904,0.7153383493423462,2.7949156761169434,1.6137397289276123,1.4201065301895142,1.7688872814178467,3.371896266937256
14,7.907435894012451,4.559010028839111,1.4901618957519531,1.5829769372940063,0.9613651037216187,2.9353153705596924,1.3980391025543213,1.314401626586914,2.2369046211242676,6.7520575523376465
15,7.029818058013916,5.541335582733154,1.5989609956741333,2.1518170833587646,2.3273673057556152,3.076082706451416,1.710450530052185,1.7845063209533691,2.935011625289917,11.779666900634766
16,6.955431222915649,4.247920989990234,1.4546183347702026,1.562824010848999,1.1342025995254517,2.999845266342163,1.6806458234786987,1.6604489088058472,2.244969367980957,5.511585235595703
17,6.37749981880188,4.277928352355957,1.4712514877319336,1.538025975227356,0.7896213531494141,2.884279251098633,1.6628261804580688,1.3928974866867065,1.8518720865249634,4.899548053741455
18,6.191106081008911,5.9803290367126465,1.6699994802474976,1.6500813961029053,1.2152628898620605,3.29429292678833,1.8319053649902344,1.5817232131958008,2.0720419883728027,6.252939224243164
19,7.295491933822632,5.496379852294922,1.6209605932235718,1.8766831159591675,1.6935278177261353,3.6082215309143066,1.9630626440048218,1.882720708847046,2.700993299484253,8.544658660888672
20,8.322915077209473,4.370128154754639,1.4449836015701294,1.256471872329712,0.7345662713050842,2.6592466831207275,1.3806579113006592,1.2040077447891235,1.6439430713653564,4.243427753448486
21,6.7049338817596436,4.9686150550842285,1.4968996047973633,1.66541588306427,0.9942203164100647,3.8869593143463135,1.8078540563583374,1.5340458154678345,2.1469321250915527,5.182348251342773
22,7.8686769008636475,6.1724162101745605,1.7169970273971558,2.257473945617676,1.9333213567733765,4.280427932739258,2.2169837951660156,1.8761098384857178,2.8659677505493164,10.897736549377441
23,7.5278000831604,4.834699630737305,1.513041377067566,1.9438378810882568,0.9089525938034058,3.668531894683838,2.212435483932495,2.0715417861938477,2.562607526779175,4.8298492431640625
24,6.932761907577515,4.370316028594971,1.5111926794052124,1.4786864519119263,0.9201968908309937,2.7117607593536377,1.4988540410995483,1.4337561130523682,2.1081478595733643,5.237458229064941
25,8.056660890579224,4.226587295532227,1.5006163120269775,1.618247151374817,0.8050520420074463,2.893134593963623,1.7738105058670044,1.6767187118530273,2.161059617996216,4.432119369506836
26,9.479608058929443,4.393744945526123,1.5182085037231445,1.5169326066970825,1.6258845329284668,3.1004536151885986,1.6365299224853516,1.4172470569610596,1.9544004201889038,7.032496929168701
27,9.833732843399048,4.798807621002197,1.5725078582763672,1.8012279272079468,0.6548589468002319,3.033820390701294,1.8970760107040405,1.5900737047195435,1.8997015953063965,4.546759605407715
28,7.867150783538818,5.298102378845215,1.6546270847320557,2.3727099895477295,1.686572551727295,5.6333136558532715,3.1487491130828857,2.5460517406463623,2.845424175262451,6.037133693695068
29,9.071655988693237,4.173034191131592,1.4061448574066162,1.391808032989502,1.1104966402053833,2.9384207725524902,1.6676018238067627,1.4363573789596558,1.6774169206619263,4.570919036865234
30,6.677346229553223,5.381641387939453,1.5547419786453247,1.8958946466445923,1.7347666025161743,3.2392935752868652,1.7813098430633545,1.761228322982788,2.6312613487243652,8.428306579589844
31,7.873935222625732,7.178130149841309,1.7008963823318481,2.9721906185150146,2.4600419998168945,5.682669162750244,3.1455953121185303,3.0690720081329346,3.8280999660491943,10.226226806640625
32,7.484461784362793,5.0715179443359375,1.572087287902832,1.6577953100204468,1.5108201503753662,3.478241205215454,1.5943084955215454,1.5292612314224243,2.4042646884918213,7.029691219329834
33,8.548573017120361,4.052226543426514,1.4460266828536987,1.1637003421783447,0.8329915404319763,2.5853078365325928,1.4421501159667969,1.2251008749008179,1.5009816884994507,3.975220203399658
34,8.530219078063965,5.381413459777832,1.6573431491851807,2.2967402935028076,2.4370181560516357,3.058690071105957,1.9793086051940918,1.8238399028778076,2.5715584754943848,9.0181884765625
35,8.81788969039917,4.696619033813477,1.5652270317077637,1.725972056388855,1.3380818367004395,2.9710307121276855,1.8380194902420044,1.6317284107208252,1.927298665046692,4.501924991607666
36,10.348366260528564,4.848900318145752,1.5313626527786255,1.6026076078414917,0.7373911738395691,2.4983315467834473,1.5830109119415283,1.7911336421966553,2.5237607955932617,4.469754219055176
37,8.148852825164795,4.669159889221191,1.5030596256256104,1.7224340438842773,1.3715136051177979,3.335737943649292,1.873464822769165,1.714857578277588,2.319892406463623,6.753741264343262
38,8.660155057907104,4.834639549255371,1.4518197774887085,1.5651785135269165,0.6982061266899109,3.31852388381958,1.7514159679412842,1.5660103559494019,1.9339993000030518,3.754842519760132
39,7.717534780502319,4.559190273284912,1.5300524234771729,1.5549273490905762,0.9956273436546326,3.4254162311553955,1.7997068166732788,1.5668163299560547,2.030769109725952,4.21441650390625
40,9.056869983673096,6.051957130432129,1.6079124212265015,3.2871968746185303,0.6431788206100464,4.643714427947998,3.754457950592041,3.4739439487457275,3.6275601387023926,4.712998390197754
41,7.987948894500732,5.055373191833496,1.5822852849960327,1.610040545463562,1.141574501991272,2.9315478801727295,1.4813854694366455,1.3613559007644653,2.1797826290130615,7.19412899017334
42,6.335391044616699,5.1529541015625,1.5332832336425781,1.4570575952529907,2.094083070755005,4.888223648071289,1.7047319412231445,1.258727788925171,1.8921618461608887,7.705678939819336
43,7.298540115356445,5.717426776885986,1.6087169647216797,1.9811930656433105,1.4730122089385986,3.452300786972046,1.7965993881225586,1.5220485925674438,2.2821524143218994,8.529848098754883
44,7.32658314704895,4.591797828674316,1.5256495475769043,1.7143539190292358,0.9796539545059204,3.254927158355713,1.7154220342636108,1.7167326211929321,2.3777647018432617,5.141727924346924
45,9.742954015731812,4.640486240386963,1.5805820226669312,1.7991249561309814,1.3176970481872559,3.0432753562927246,1.6671619415283203,1.511978268623352,2.3215324878692627,7.918201923370361
46,9.02823281288147,4.654542922973633,1.5061240196228027,1.54778254032135,1.2402124404907227,2.914546012878418,1.6209009885787964,1.36268150806427,1.925684928894043,5.821756839752197
47,8.625253915786743,5.05679178237915,1.5352948904037476,1.5005383491516113,1.415743350982666,3.1723411083221436,1.7655885219573975,1.6415226459503174,2.0663163661956787,6.463410377502441
48,6.817736864089966,4.5190510749816895,1.5083781480789185,1.416812539100647,0.9191872477531433,3.3472561836242676,1.6043154001235962,1.4638340473175049,2.0273220539093018,4.409266471862793
49,7.615953207015991,4.7685160636901855,1.528531551361084,1.4593207836151123,0.7832068204879761,3.4603328704833984,1.5784730911254883,1.1666439771652222,1.5389572381973267,5.160534381866455
50,6.883071184158325,6.094254016876221,1.8432196378707886,2.8536157608032227,1.9708503484725952,3.4185800552368164,2.318063497543335,2.445868968963623,3.6194653511047363,11.676468849182129
51,7.571444034576416,4.688549041748047,1.5000789165496826,1.6303455829620361,0.825928807258606,2.524864673614502,1.64963698387146,1.5402154922485352,2.060530424118042,5.701710224151611
52,10.990691184997559,4.705417633056641,1.5027294158935547,1.634315848350525,0.7129024863243103,3.3724586963653564,2.208069324493408,1.7021852731704712,1.8914085626602173,3.7584478855133057
53,9.808037757873535,5.1026105880737305,1.6201119422912598,1.6197923421859741,1.9562848806381226,3.6375389099121094,1.6231575012207031,1.4152355194091797,2.020852565765381,6.881584167480469
54,9.880007982254028,5.257100582122803,1.5663219690322876,1.3844678401947021,1.4915249347686768,3.453392505645752,1.3857543468475342,1.2752068042755127,1.9628698825836182,5.774102210998535
55,14.47789192199707,4.653388500213623,1.5317007303237915,1.4912625551223755,0.8400959372520447,2.868751049041748,1.5817073583602905,1.5231821537017822,2.107433319091797,4.673338890075684
56,18.340821027755737,4.779615879058838,1.4886682033538818,1.447270154953003,0.6835459470748901,3.0051817893981934,1.8690091371536255,1.5882467031478882,1.7792742252349854,3.4786949157714844
