seed,total_time,mse,l1,mse_mean,mse_sd,mse_quantile_0.05,mse_quantile_0.25,mse_quantile_0.50,mse_quantile_0.75,mse_quantile_0.95
1,17.943306922912598,0.8089404106140137,0.725832998752594,0.03209422901272774,0.025610504671931267,0.3194877505302429,0.055254947394132614,0.11721127480268478,0.05036565288901329,0.11034484952688217
2,18.175103902816772,0.8443859219551086,0.7328142523765564,0.06390698254108429,0.02463896945118904,0.39451083540916443,0.09523922950029373,0.16964630782604218,0.08684766292572021,0.16625849902629852
3,14.851587057113647,0.8559479713439941,0.6846160292625427,0.06769201904535294,0.03200259432196617,0.2930344045162201,0.06336462497711182,0.08011720329523087,0.09962601959705353,0.6310266256332397
4,20.91642117500305,0.934977114200592,0.7497525811195374,0.07636424154043198,0.06277661770582199,0.23568475246429443,0.11299216002225876,0.15306423604488373,0.08555984497070312,0.5820101499557495
5,11.389235973358154,0.8639737367630005,0.730718731880188,0.07730322331190109,0.04258483275771141,0.2276226133108139,0.19241932034492493,0.23393811285495758,0.08351214230060577,0.5324652791023254
6,8.0588698387146,0.9563332796096802,0.7084907293319702,0.13960912823677063,0.09871888160705566,0.7769034504890442,0.19416466355323792,0.1564117670059204,0.16571952402591705,1.0390173196792603
7,19.759027004241943,0.8529706001281738,0.7357222437858582,0.05604502931237221,0.03771752864122391,0.47743064165115356,0.07866648584604263,0.19291552901268005,0.11322427541017532,0.12116996943950653
8,16.935205221176147,0.8541109561920166,0.6417752504348755,0.08997372537851334,0.03182988613843918,0.7749747037887573,0.05399666726589203,0.03158395737409592,0.05167144536972046,0.5284432172775269
9,17.63714599609375,0.9788304567337036,0.7655327320098877,0.1259615570306778,0.059208955615758896,0.695131242275238,0.13403859734535217,0.2358265519142151,0.18132129311561584,0.3449043035507202
10,13.966332912445068,0.8709638118743896,0.7297449111938477,0.0661858543753624,0.0424383319914341,0.44647592306137085,0.10699725151062012,0.16088056564331055,0.10373968631029129,0.2987791895866394
11,24.138214111328125,0.868958055973053,0.7165267467498779,0.029157737269997597,0.01888161711394787,0.33470743894577026,0.048310212790966034,0.10576020926237106,0.040553901344537735,0.23590974509716034
12,11.567142963409424,0.9531456232070923,0.7532659769058228,0.1229880154132843,0.031245365738868713,0.49026432633399963,0.1862010806798935,0.24469442665576935,0.13940942287445068,0.22185860574245453
13,19.87010622024536,0.9471906423568726,0.7543835043907166,0.09660222381353378,0.027053261175751686,0.2613812983036041,0.1965532749891281,0.16759075224399567,0.07128030806779861,0.36630481481552124
14,30.31993293762207,0.8361718058586121,0.7218879461288452,0.04063238576054573,0.07508894056081772,0.5888397097587585,0.06727206707000732,0.13976484537124634,0.11001075804233551,0.08347128331661224
15,26.383108139038086,0.8666948676109314,0.7186658978462219,0.13773946464061737,0.06078428775072098,0.4956800639629364,0.19235017895698547,0.2463076114654541,0.1528128981590271,0.15683017671108246
16,18.792471170425415,0.8860194683074951,0.6926881670951843,0.0665527731180191,0.030231229960918427,0.5547568798065186,0.06484858691692352,0.0675596296787262,0.049187567085027695,0.3341113030910492
17,27.21680784225464,0.8374304175376892,0.6598302125930786,0.1335168331861496,0.04616960138082504,0.9820342659950256,0.14256569743156433,0.09234538674354553,0.08047282695770264,0.3127768337726593
18,17.674351692199707,0.828395664691925,0.7027092576026917,0.07492707669734955,0.03361160680651665,0.566617488861084,0.11222576349973679,0.14416033029556274,0.07646950334310532,0.2696172893047333
19,21.488131761550903,0.9282551407814026,0.7151392698287964,0.09499262273311615,0.030636630952358246,0.33273959159851074,0.12658624351024628,0.114936463534832,0.09173916280269623,0.5606115460395813
20,32.617533922195435,0.8356347680091858,0.7183195948600769,0.03736596554517746,0.02391306683421135,0.30522143840789795,0.04466691240668297,0.11226992309093475,0.057361166924238205,0.14551331102848053
21,7.6912760734558105,0.9122517704963684,0.7428722977638245,0.09995511174201965,0.04137176647782326,0.2570297122001648,0.17095455527305603,0.17679503560066223,0.09868978708982468,0.52808678150177
22,15.552656888961792,0.8499796390533447,0.7200812101364136,0.028462260961532593,0.033959995955228806,0.3560105562210083,0.06283261626958847,0.11939132958650589,0.051427047699689865,0.2868046164512634
23,19.26622700691223,0.8575342297554016,0.6830803155899048,0.07192414999008179,0.12684987485408783,1.2670055627822876,0.1027393788099289,0.09689170867204666,0.09929561614990234,0.1282953917980194
24,28.430679082870483,0.8350998163223267,0.6727034449577332,0.044008348137140274,0.04584364965558052,0.775050163269043,0.054733823984861374,0.03270404785871506,0.02091912552714348,0.21643206477165222
25,18.672343969345093,0.7927371859550476,0.6877586841583252,0.04055631160736084,0.0367741696536541,0.591772198677063,0.04131828248500824,0.11194244027137756,0.06896036118268967,0.3115353286266327
26,32.916218996047974,0.8256638646125793,0.7018091082572937,0.056505054235458374,0.027099326252937317,0.31526094675064087,0.07284213602542877,0.12837742269039154,0.07456590235233307,0.30495068430900574
27,24.090603828430176,1.1305863857269287,0.8390662670135498,0.26629841327667236,0.04170609265565872,0.49291303753852844,0.4557507634162903,0.49049124121665955,0.26922091841697693,0.18163390457630157
28,61.58674097061157,0.8381760716438293,0.7043266892433167,0.04611926153302193,0.03202855587005615,0.4160412847995758,0.0801081508398056,0.11985739320516586,0.05755837261676788,0.2576792240142822
29,31.68024706840515,0.8318848609924316,0.7183318138122559,0.05530836433172226,0.036262672394514084,0.34063485264778137,0.14763957262039185,0.1779869943857193,0.06965728849172592,0.4036978483200073
30,18.22957682609558,0.7816282510757446,0.6725130677223206,0.05001382902264595,0.04151694476604462,0.4269729256629944,0.09610388427972794,0.12152125686407089,0.05514270067214966,0.44725552201271057
31,28.877286911010742,0.7841042280197144,0.6700586080551147,0.06752871721982956,0.024967841804027557,0.46146276593208313,0.07702114433050156,0.08516885340213776,0.0593269057571888,0.33223652839660645
32,64.08948493003845,0.8376094698905945,0.6959658861160278,0.0459432378411293,0.035895682871341705,0.5865783095359802,0.0543157123029232,0.08594821393489838,0.04788798838853836,0.1326838880777359
33,34.0211877822876,0.6906326413154602,0.6537272930145264,0.01640603318810463,0.09730488806962967,0.8757816553115845,0.03092227131128311,0.10255331546068192,0.08430217206478119,0.06514892727136612
34,27.753861904144287,0.8803433179855347,0.6815495491027832,0.07205156236886978,0.06954975426197052,1.0962728261947632,0.08725684136152267,0.07304632663726807,0.04331815987825394,0.3530816435813904
35,24.357918977737427,0.8204582333564758,0.7265453338623047,0.07725181430578232,0.04373661428689957,0.5178850293159485,0.11426068097352982,0.21013979613780975,0.13301947712898254,0.10854434221982956
