seed,total_time,mse,l1,mse_mean
1,2.220762252807617,7.184722423553467,1.871366024017334,3.4578657150268555
2,2.0556769371032715,9.602583885192871,1.8775665760040283,4.262091159820557
3,2.179708957672119,5.717855453491211,1.7844650745391846,2.931079864501953
4,2.1916940212249756,6.097066402435303,1.7823874950408936,2.666719675064087
5,2.066502094268799,6.6049981117248535,1.7943683862686157,4.0770392417907715
6,2.2702741622924805,7.089222431182861,1.8308082818984985,3.928659439086914
7,2.238542079925537,6.983096599578857,1.8406343460083008,4.250095844268799
8,2.490912914276123,7.665150165557861,1.8451305627822876,4.412299633026123
9,2.3866159915924072,5.03872537612915,1.6638391017913818,2.321782112121582
10,2.315272092819214,6.308815002441406,1.8091994524002075,2.8728597164154053
11,2.4191818237304688,6.621516227722168,1.7952189445495605,3.38515043258667
12,2.246691942214966,6.394800662994385,1.8138235807418823,2.9442670345306396
13,2.284515142440796,5.1959710121154785,1.6187453269958496,2.904843807220459
14,2.663458824157715,5.674898624420166,1.7573484182357788,2.9523515701293945
15,2.482905149459839,6.4469451904296875,1.7050544023513794,2.9780755043029785
16,2.6117708683013916,5.660174369812012,1.6845836639404297,2.8389604091644287
17,2.5729658603668213,5.478147029876709,1.6752068996429443,3.039619207382202
18,2.7870020866394043,7.597992420196533,1.840291976928711,3.2674174308776855
19,3.121185064315796,6.6473541259765625,1.7792822122573853,2.685210943222046
20,3.2252888679504395,5.6156439781188965,1.6930515766143799,2.860755205154419
21,2.4606997966766357,5.7355804443359375,1.6707990169525146,3.26377272605896
22,2.6659138202667236,7.470582008361816,1.82008957862854,3.370138645172119
23,2.733304977416992,6.980245113372803,1.8468329906463623,3.6112961769104004
24,2.5717999935150146,5.729507923126221,1.7599786520004272,3.0408935546875
25,2.539267063140869,5.831871032714844,1.783903956413269,2.900265693664551
26,2.3665552139282227,7.500936508178711,1.723453402519226,3.912966728210449
27,2.401656150817871,5.884554862976074,1.7226297855377197,2.8096659183502197
28,2.5645089149475098,6.958961009979248,1.8474172353744507,3.6350185871124268
29,2.6706972122192383,6.03835391998291,1.687274694442749,3.0679688453674316
30,2.6383068561553955,6.017296314239502,1.7196203470230103,2.9230258464813232
31,2.6703941822052,8.907207489013672,1.8610515594482422,4.612473011016846
32,2.573042154312134,5.956771373748779,1.7236530780792236,2.4680140018463135
33,2.689116954803467,6.342585563659668,1.7519077062606812,2.915820598602295
34,3.055453062057495,6.01254415512085,1.8185482025146484,2.6233584880828857
35,2.5714058876037598,7.0067548751831055,1.8007910251617432,3.930546760559082
36,2.7852189540863037,6.388541221618652,1.774469017982483,3.7440481185913086
37,2.748807191848755,6.272852420806885,1.75077486038208,4.122054576873779
38,2.605456829071045,6.617571830749512,1.7670079469680786,3.2090487480163574
39,2.6924779415130615,5.45027494430542,1.7053275108337402,2.566734790802002
40,2.911222219467163,11.421509742736816,1.9254231452941895,9.20739459991455
41,2.7179479598999023,5.459964752197266,1.6835782527923584,2.4027044773101807
42,2.773590087890625,7.1135149002075195,1.7643905878067017,3.322906017303467
43,2.8411290645599365,6.03257417678833,1.7453162670135498,2.633419990539551
44,2.766855001449585,6.502473831176758,1.777584195137024,3.511146068572998
45,2.9104411602020264,7.029958724975586,1.8294365406036377,3.9691567420959473
46,2.86344313621521,7.437930583953857,1.832329273223877,4.581599712371826
47,2.7631120681762695,6.781771183013916,1.8447248935699463,2.9327969551086426
48,3.110546112060547,5.418823719024658,1.674660325050354,2.5967485904693604
49,2.9568822383880615,6.559141635894775,1.786605954170227,3.20353102684021
50,2.9168012142181396,7.539507865905762,1.8810596466064453,3.8220551013946533
51,2.517910957336426,5.926454067230225,1.749803900718689,2.820183753967285
52,2.6002519130706787,7.210618019104004,1.8201994895935059,3.746107339859009
53,2.568972110748291,5.4604291915893555,1.738675594329834,2.293142080307007
54,2.568681001663208,7.116123199462891,1.8389548063278198,3.1637051105499268
55,2.4259212017059326,6.13667106628418,1.7719694375991821,2.6645736694335938
56,2.5265860557556152,6.117455005645752,1.7071237564086914,2.8078174591064453
57,2.538774013519287,9.854080200195312,1.9579602479934692,7.318724155426025
58,2.6617560386657715,6.530267715454102,1.7970755100250244,3.0738301277160645
59,2.5818519592285156,12.585958480834961,1.8235173225402832,7.599228858947754
60,2.8775010108947754,6.670830249786377,1.807656168937683,3.1345808506011963
61,3.20108962059021,6.76791524887085,1.8113890886306763,3.5145909786224365
62,2.9249868392944336,6.8273725509643555,1.8619823455810547,3.0185067653656006
63,2.9277379512786865,7.013998985290527,1.8871161937713623,3.1395020484924316
64,2.8063271045684814,7.44206428527832,1.8417431116104126,3.6662497520446777
65,2.911046028137207,5.943808078765869,1.7236064672470093,3.067106008529663
66,2.934022903442383,6.638798236846924,1.8642797470092773,2.7951042652130127
67,2.947227954864502,6.033349990844727,1.6607483625411987,3.4547297954559326
68,3.231416940689087,6.20753812789917,1.7809504270553589,3.208237409591675
69,2.913261890411377,5.632091522216797,1.696057915687561,2.963965654373169
70,3.6203548908233643,7.513927459716797,1.756265640258789,4.463282585144043
71,3.4604649543762207,6.670957565307617,1.7345210313796997,3.476442813873291
72,2.8981549739837646,7.015341758728027,1.8328003883361816,3.8874785900115967
73,2.9444730281829834,6.009186744689941,1.7538166046142578,2.9666082859039307
74,2.7955310344696045,5.6186347007751465,1.6945796012878418,3.2241480350494385
75,2.8170650005340576,5.542981147766113,1.6848500967025757,2.5344676971435547
76,2.924855947494507,7.91880989074707,1.7854111194610596,4.558821201324463
77,2.909168004989624,7.562478542327881,1.8371857404708862,4.128905296325684
78,3.0480740070343018,6.293965816497803,1.7684499025344849,3.1823906898498535
79,3.040260076522827,5.920753002166748,1.714048147201538,2.528740882873535
80,2.9802770614624023,5.84594202041626,1.7278980016708374,2.4357213973999023
81,2.879843235015869,6.495358943939209,1.7711079120635986,3.7422869205474854
82,3.0538711547851562,5.937053680419922,1.7133439779281616,2.849118232727051
83,3.32883882522583,6.300082206726074,1.7894736528396606,2.8471033573150635
84,3.20878267288208,6.750082015991211,1.7659765481948853,2.993229389190674
85,3.1627378463745117,7.465119361877441,1.7429454326629639,3.5222980976104736
86,3.540900945663452,7.107118129730225,1.8038508892059326,3.346021890640259
87,3.4487950801849365,6.053661823272705,1.8071609735488892,2.915036916732788
88,3.456890821456909,6.5742573738098145,1.7715938091278076,2.6651899814605713
89,3.512432813644409,5.851212978363037,1.7576655149459839,2.6587328910827637
90,3.3797519207000732,6.24793004989624,1.7175483703613281,3.984018325805664
91,3.393432140350342,5.4154815673828125,1.6729319095611572,2.412688970565796
92,3.601473093032837,5.435262680053711,1.7172462940216064,2.7155048847198486
93,3.657886028289795,6.82874870300293,1.858615756034851,2.7418744564056396
94,3.5095059871673584,6.704614162445068,1.8306955099105835,3.2299892902374268
95,3.421003818511963,5.910999774932861,1.6807712316513062,2.824641704559326
96,3.438163995742798,5.279844760894775,1.6466313600540161,2.42453932762146
97,3.773401975631714,6.8525004386901855,1.8254319429397583,3.271542549133301
98,3.659811019897461,5.393796920776367,1.632718563079834,2.21907901763916
99,3.600961923599243,6.490847587585449,1.7508201599121094,3.0260846614837646
100,3.4811432361602783,5.912741661071777,1.7316244840621948,3.19730806350708
