seed,total_time,mse_y_1,mse_y_2,l1_y_1,l1_y_2,mse_mean_y_1,mse_mean_y_2,mse_sd_y_1,mse_sd_y_2,mse_quantile_y_1_0.05,mse_quantile_y_1_0.25,mse_quantile_y_1_0.50,mse_quantile_y_1_0.75,mse_quantile_y_1_0.95,mse_quantile_y_2_0.05,mse_quantile_y_2_0.25,mse_quantile_y_2_0.50,mse_quantile_y_2_0.75,mse_quantile_y_2_0.95
1,168.74285888671875,2.7158353328704834,2.746309995651245,1.3897466659545898,1.406319260597229,0.005804122891277075,0.00896527525037527,0.03970446065068245,0.04105248674750328,0.11150499433279037,0.1133812665939331,0.014720214530825615,0.17267730832099915,0.06123672425746918,0.12680986523628235,0.07462865859270096,0.04046675190329552,0.14928078651428223,0.06559517979621887
2,162.77007293701172,2.805220603942871,2.793208599090576,1.4229909181594849,1.4372199773788452,0.008759805001318455,0.01152182836085558,0.03522903472185135,0.03340674564242363,0.11257579177618027,0.08048280328512192,0.014102790504693985,0.08189338445663452,0.0633537769317627,0.08587638288736343,0.06389111280441284,0.053561389446258545,0.1158151850104332,0.07157135009765625
3,384.36706042289734,2.861292839050293,2.71161150932312,1.4546144008636475,1.393843173980713,0.004949384834617376,0.010248054750263691,0.0010490092681720853,0.0012014926178380847,0.0042124055325984955,0.0084286043420434,0.0057780868373811245,0.003349581267684698,0.0023535103537142277,0.007106569595634937,0.005273973569273949,0.018594855442643166,0.0154441948980093,0.0036483872681856155
4,279.4504437446594,2.7212204933166504,2.654245376586914,1.3855112791061401,1.3656760454177856,0.0056763929314911366,0.008509441278874874,0.0014211313100531697,0.0021332509350031614,0.005896936636418104,0.009204029105603695,0.002759692957624793,0.009292686358094215,0.012514510191977024,0.0031982793007045984,0.02217850834131241,0.0066216387785971165,0.012616459280252457,0.006805796641856432
5,222.51672101020813,2.787109375,2.696974039077759,1.4183624982833862,1.3869904279708862,0.00389002519659698,0.009182153269648552,0.004687261302024126,0.007909655570983887,0.008803232572972775,0.03445038944482803,0.006831012200564146,0.01907067745923996,0.010587423108518124,0.008049928583204746,0.0425071120262146,0.0309103112667799,0.02474038302898407,0.020571071654558182
6,168.75866794586182,2.7482476234436035,2.731081962585449,1.4145766496658325,1.4057611227035522,0.008213205263018608,0.004166978877037764,0.04325020685791969,0.03479389101266861,0.09257097542285919,0.11847832053899765,0.019758567214012146,0.11995641887187958,0.05514509603381157,0.09537751972675323,0.09209251403808594,0.03501783311367035,0.09170950204133987,0.05551076680421829
7,262.22850608825684,2.667571783065796,2.7044620513916016,1.3731955289840698,1.3937244415283203,0.0083741070702672,0.004534284118562937,0.0020520540419965982,0.005607523024082184,0.0018529918743297458,0.005899068899452686,0.020531760528683662,0.012407827191054821,0.007451660931110382,0.0074623203836381435,0.0196690633893013,0.0059643033891916275,0.010541706345975399,0.020223213359713554
8,217.33608102798462,2.8049943447113037,2.748727560043335,1.4355615377426147,1.4101917743682861,0.009573251008987427,0.009266797453165054,0.003191679250448942,0.0071328179910779,0.0177923496812582,0.01933038793504238,0.014043605886399746,0.01954951323568821,0.007678268942981958,0.018933044746518135,0.02432638220489025,0.004863031208515167,0.03357194364070892,0.010231233201920986
9,201.51512026786804,2.7742860317230225,2.8358213901519775,1.4155672788619995,1.444948673248291,0.007556836120784283,0.006172714289277792,0.009249592199921608,0.011370248161256313,0.029890911653637886,0.03645253926515579,0.014977799728512764,0.061493437737226486,0.01986536756157875,0.02706800028681755,0.023194482550024986,0.01968396268785,0.061336252838373184,0.027908748015761375
10,220.2772376537323,2.738722801208496,2.7328083515167236,1.405957818031311,1.4039753675460815,0.006976842414587736,0.0050330739468336105,0.009548942558467388,0.004998269956558943,0.031362660229206085,0.03924441710114479,0.00541616091504693,0.02553717792034149,0.013353760354220867,0.017274517565965652,0.021359341219067574,0.008648663759231567,0.019283492118120193,0.013018757104873657
11,161.30035281181335,2.7599704265594482,2.812002658843994,1.4240659475326538,1.4348394870758057,0.01024560071527958,0.007693917024880648,0.05562407523393631,0.05447130650281906,0.08974605053663254,0.23607635498046875,0.04328344017267227,0.11722090095281601,0.14535552263259888,0.12313590198755264,0.16390720009803772,0.020472252741456032,0.11325442790985107,0.13825583457946777
12,264.06709718704224,2.7270150184631348,2.753307580947876,1.3965495824813843,1.4142065048217773,0.012874037958681583,0.014086421579122543,0.0042346385307610035,0.0047545721754431725,0.011504377238452435,0.04432095214724541,0.013462267816066742,0.009142055176198483,0.007648584432899952,0.006635607685893774,0.060950156301259995,0.02604040317237377,0.01121203787624836,0.010314108803868294
13,285.8800311088562,2.631108283996582,2.7273054122924805,1.3592846393585205,1.3950434923171997,0.003747910028323531,0.005999092943966389,0.0011727593373507261,0.0036522983573377132,0.004304522182792425,0.00529689434915781,0.0033499733544886112,0.0038337288424372673,0.007839677855372429,0.007379487622529268,0.01206986978650093,0.015539882704615593,0.014869293197989464,0.012699153274297714
14,173.84726691246033,2.6353209018707275,2.7352912425994873,1.3627643585205078,1.3995741605758667,0.010460831224918365,0.012495183385908604,0.03580144792795181,0.028774410486221313,0.10764653235673904,0.07917065173387527,0.037840791046619415,0.12720277905464172,0.06068902462720871,0.09633363038301468,0.06775525212287903,0.025785595178604126,0.09234677255153656,0.04914645850658417
15,180.223815202713,2.745856761932373,2.702364683151245,1.4095832109451294,1.3944005966186523,0.017026126384735107,0.007785947062075138,0.03234703838825226,0.03296186029911041,0.07157404720783234,0.06489160656929016,0.033966340124607086,0.1737813651561737,0.05251391604542732,0.11682488024234772,0.1093488335609436,0.025239799171686172,0.08685681223869324,0.04641423746943474
16,176.1880807876587,2.727163553237915,2.7126100063323975,1.4043232202529907,1.4046533107757568,0.006728991400450468,0.00960631389170885,0.04876157268881798,0.03572924807667732,0.0749223604798317,0.0705275610089302,0.01404146384447813,0.1156478151679039,0.12976211309432983,0.07761617749929428,0.09772700816392899,0.023081986233592033,0.0877867043018341,0.08172372728586197
17,271.58887481689453,2.73488187789917,2.7345573902130127,1.4104975461959839,1.4008960723876953,0.0040739658288657665,0.006340095307677984,0.0035541115794330835,0.0026426343247294426,0.010602615773677826,0.007443480659276247,0.004762319382280111,0.014895958825945854,0.005295098759233952,0.006221897900104523,0.003930853214114904,0.006336637306958437,0.010580940172076225,0.005173572804778814
18,146.90930008888245,2.7544620037078857,2.75026273727417,1.396174669265747,1.4167205095291138,0.03267211094498634,0.024147888645529747,0.11562258750200272,0.11602181196212769,0.25484001636505127,0.27630719542503357,0.05508926510810852,0.29853662848472595,0.2451901137828827,0.343641459941864,0.27045342326164246,0.05679386109113693,0.2641979455947876,0.20851995050907135
19,241.40938091278076,2.7459073066711426,2.7750463485717773,1.4059944152832031,1.4223309755325317,0.007404524367302656,0.01228636410087347,0.006780323106795549,0.005205387249588966,0.015524005517363548,0.04076269268989563,0.010420156642794609,0.02237432450056076,0.014989874325692654,0.019833549857139587,0.045467693358659744,0.013921255245804787,0.00698669720441103,0.011392832733690739
20,155.42402410507202,2.854926347732544,2.6648261547088623,1.4536153078079224,1.3669778108596802,0.014062395319342613,0.011229637078940868,0.0712730661034584,0.0911964625120163,0.1472064107656479,0.2111084908246994,0.026480887085199356,0.1612127721309662,0.17258191108703613,0.13606347143650055,0.1892612874507904,0.03134320303797722,0.22800983488559723,0.2386118471622467
21,189.33129405975342,2.7735342979431152,2.7154042720794678,1.4271684885025024,1.3893046379089355,0.013539718464016914,0.010216916911303997,0.014478690922260284,0.014793245121836662,0.05263056233525276,0.029939880594611168,0.020464887842535973,0.16039639711380005,0.03571184724569321,0.055588897317647934,0.04575536772608757,0.04866513982415199,0.06466630846261978,0.025209762156009674
22,222.01188611984253,2.6820051670074463,2.729435443878174,1.3831743001937866,1.3919223546981812,0.006901446729898453,0.0042684562504291534,0.0064031570218503475,0.007258129306137562,0.01864127814769745,0.01497842650860548,0.015009650960564613,0.02491220086812973,0.008900878950953484,0.020180409774184227,0.007404109928756952,0.007089019753038883,0.03633438050746918,0.016743049025535583
23,210.5121819972992,2.614640951156616,2.7641375064849854,1.3488389253616333,1.4186877012252808,0.005694940686225891,0.0037271184846758842,0.012143007479608059,0.008151326328516006,0.014895142987370491,0.06393429636955261,0.0119960717856884,0.016956062987446785,0.03328583389520645,0.01602969504892826,0.029040997847914696,0.004733118694275618,0.03690565377473831,0.019330313429236412
24,238.67872500419617,2.7492733001708984,2.73581600189209,1.4048148393630981,1.4059785604476929,0.00618351437151432,0.005748767871409655,0.0045417784713208675,0.00819564238190651,0.021140407770872116,0.01875457912683487,0.005852753296494484,0.034035149961709976,0.0071817487478256226,0.015091020613908768,0.02858603745698929,0.011297749355435371,0.04803921654820442,0.013852957636117935
25,174.77973914146423,2.791243314743042,2.680100679397583,1.419702410697937,1.3843547105789185,0.015052590519189835,0.004327412694692612,0.034520093351602554,0.04347188025712967,0.07158038020133972,0.05683082714676857,0.024806132540106773,0.16238027811050415,0.0730886235833168,0.14950710535049438,0.09145992249250412,0.0131142046302557,0.13643193244934082,0.06159191206097603
26,317.7502119541168,2.6901943683624268,2.8416388034820557,1.3857662677764893,1.445846676826477,0.005578975658863783,0.0058972700498998165,0.0023725538048893213,0.002539765788242221,0.0037621096707880497,0.012138663791120052,0.007312044966965914,0.01286987867206335,0.005483377259224653,0.008119814097881317,0.012691686861217022,0.0033081332221627235,0.01183304749429226,0.006995555944740772
27,296.32564306259155,2.762118101119995,2.848268985748291,1.4083662033081055,1.4573094844818115,0.006947188172489405,0.005671459250152111,0.0032083054538816214,0.004004654008895159,0.004898148588836193,0.03225947916507721,0.006282756105065346,0.03577705845236778,0.007684492506086826,0.009038732387125492,0.03631434962153435,0.007667377591133118,0.015087001025676727,0.007886416278779507
28,185.66785597801208,2.8376851081848145,2.808295965194702,1.4461805820465088,1.43314528465271,0.004681974183768034,0.003988741431385279,0.022487591952085495,0.02463221363723278,0.06809176504611969,0.06001591309905052,0.010209182277321815,0.07868318259716034,0.033899612724781036,0.07852963358163834,0.052214477211236954,0.005183307453989983,0.09631805121898651,0.0403309091925621
29,162.54036593437195,2.699526786804199,2.7291548252105713,1.3883545398712158,1.4032686948776245,0.013759722001850605,0.01686778850853443,0.06567642837762833,0.07210427522659302,0.21292375028133392,0.16169247031211853,0.04952719062566757,0.21644754707813263,0.08337786793708801,0.16794154047966003,0.15434087812900543,0.034172024577856064,0.19038055837154388,0.12628191709518433
